"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"725690539455078401","725690374224637956","2428629643","2016-04-28 14:18:01 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@taketo_yade なお、企画とは言ってない。","","","",""
"725690165369278464","","","2016-04-28 14:16:32 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","今回の企画反省は、局長潰してもいいのかな。","","","",""
"725688683593011200","","","2016-04-28 14:10:39 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SA終了。","","","",""
"725556546432716800","","","2016-04-28 05:25:35 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","乱数はきちがい","","","",""
"725519996978237441","","","2016-04-28 03:00:21 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","語をください♪","","","",""
"725519950769594368","","","2016-04-28 03:00:10 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","他に短い","","","",""
"725491294122844162","","","2016-04-28 01:06:18 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","朝から2時間Tex","","","",""
"725329992511426560","","","2016-04-27 14:25:20 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","急ごしらえのTex環境はVimには任せなかった。。","","","",""
"725300632865771520","","","2016-04-27 12:28:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","久しぶりに映画でも観るか。。","","","",""
"725299851315961858","","","2016-04-27 12:25:34 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ごはん奢ること。
意図がないわけではない。
が、そんなに深い意味もない。","","","",""
"725131775693856768","","","2016-04-27 01:17:42 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","純正Exsel使おうと思ったら、Winが突然OSアップグレード中で使用不可。
学校へ早く行けと、環境が示唆してる。","","","",""
"725130691621482497","","","2016-04-27 01:13:23 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","昨日作った、fullHD3D動画 は、もっと改良して、気に入ったら、挙げよう。","","","",""
"725103721726631936","","","2016-04-26 23:26:13 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","英語わかんないから、
安全に16.04 remix まで待つか。","","","",""
"724985749817298944","","","2016-04-26 15:37:26 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PCmaxのcumulative proportionが1.00になってるから、合ってそう。","","","",""
"724979339138195457","","","2016-04-26 15:11:58 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","アスキーの 0SIM感 がすごい https://t.co/OnbclQkn2v","","","","https://twitter.com/itsoku2ch/status/724957233298042882"
"724978852573777920","","","2016-04-26 15:10:02 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Azure 通った。わりと楽しみ。
久しぶりのR なかなか感覚が戻ってこないから、記憶だけだと主成分分析が限界。","","","",""
"724925864765480960","","","2016-04-26 11:39:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Excelでやれと言われたセミナー。
Excel初心者の私には難しい。
よし、Rに切り替えるか","","","",""
"724925096675135488","","","2016-04-26 11:36:26 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","右手にLinux.
左手にwindows.
未だに解析解が出なくて泣きそう。","","","",""
"724886016662863872","","","2016-04-26 09:01:08 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","解析するか。","","","",""
"724761409171521536","","","2016-04-26 00:46:00 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ホワットをブレイクダウン","","","",""
"724738925403594752","","","2016-04-25 23:16:39 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","大学内のパソコンにAE入ってて感激。","","","",""
"724733458107359236","","","2016-04-25 22:54:55 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Twitterの""いいね""は2～3回まで推せると、より""いいねの度合い""がわかりそう。","","","",""
